File,Line,Function/Class,Issue Type,Severity,Description,Suggested Fix
tailchasing/analyzers/enhanced_missing_symbols.py,708,EnhancedReferenceVisitor,duplicate_function,HIGH,Duplicate visitor pattern implementation,Use BaseASTVisitor class
tailchasing/analyzers/enhanced_missing_symbols.py,550,collect_callsites,duplicate_function,HIGH,Duplicate callsite collection logic,Extract to shared utility
tailchasing/analyzers/enhanced_placeholders.py,203,_is_placeholder,duplicate_function,HIGH,Duplicate placeholder detection,Consolidate with base analyzer
tailchasing/analyzers/enhanced_placeholders.py,198,_check_function,duplicate_function,HIGH,Duplicate function checking logic,Use base implementation
tailchasing/analyzers/enhanced_placeholders.py,126,visit_FunctionDef,duplicate_function,HIGH,Duplicate visitor method,Inherit from BaseASTVisitor
tailchasing/analyzers/canonical_policy.py,32,CanonicalPolicy,duplicate_function,MEDIUM,Duplicate policy implementation,Refactor to single source
tailchasing/analyzers/duplicates.py,461,structural_hash,duplicate_function,HIGH,Duplicate hashing logic,Create shared hash utility
tailchasing/analyzers/base_enhanced.py,486,BaseEnhancedAnalyzer,semantic_duplicate_function,HIGH,Semantic duplicate of base analyzer,Merge with base class
benchmarks/scenarios/circular_dependency.py,19,test_scenario,semantic_duplicate_function,LOW,Duplicate test pattern,Refactor test utilities
benchmarks/scenarios/complex_refactoring.py,19,test_scenario,semantic_duplicate_function,LOW,Duplicate test pattern,Refactor test utilities
tailchasing/semantic/smart_filter.py,Multiple,SemanticDuplicateFilter,semantic_hv_exact,HIGH,139 exact semantic matches,Consolidate filter methods
tailchasing/analyzers/placeholders.py,Multiple,PlaceholderVisitor,enhanced_placeholder,HIGH,123 placeholder functions,Implement or remove
tailchasing/analyzers/enhanced_*.py,Multiple,Various,phantom_stub_triage,HIGH,79 phantom stubs,Complete implementations
tailchasing/analyzers/*.py,Multiple,Various,llm_filler_sequence,MEDIUM,119 filler sequences,Remove boilerplate code
tailchasing/cli_main.py,1-50,imports,import_anxiety_class_import_spree,MEDIUM,26 excessive imports,Clean up imports
tailchasing/core/*.py,Multiple,Various,import_anxiety_unused_imports,MEDIUM,24 unused imports,Remove unused imports
tailchasing/analyzers/*.py,Multiple,Various,context_window_thrashing,HIGH,27 reimplementations,Extract shared utilities
tailchasing/semantic/*.py,Multiple,Various,llm_filler_text,LOW,10 generic text blocks,Add specific documentation
tailchasing/analyzers/*.py,Multiple,docstrings,llm_filler_docstring,LOW,9 generic docstrings,Write specific documentation
tailchasing/core/fix_planner.py,Multiple,FixPlanner,repeated_import_pattern,LOW,3 repeated imports,Consolidate imports
tailchasing/cli_main.py,1305,fixable_types,configuration,CRITICAL,Mismatched fixable types (FIXED),Updated configuration
tailchasing/analyzers/missing_symbols.py,280-320,SymbolCollector,refactored,FIXED,Duplicate visitor pattern (FIXED),Now uses BaseASTVisitor
tailchasing/analyzers/missing_symbols.py,323-400,ReferenceVisitor,refactored,FIXED,Duplicate visitor pattern (FIXED),Now uses BaseASTVisitor
tailchasing/analyzers/placeholders.py,29-54,PlaceholderVisitor,refactored,FIXED,Duplicate visitor pattern (FIXED),Now uses BaseASTVisitor
tailchasing/analyzers/base_visitor.py,NEW,BaseASTVisitor,solution,FIXED,Created base class for visitors,Reduces code duplication